,country,year,sex,age,suicides_no,population,suicides_per_100k_pop,country_year,HDI_for_year,gdp_for_year,gdp_per_capita,generation
44,Argentina,2012,female,55-74 years,108,3328463,3.24,Argentina2012,0.831,545982375701,14203,Boomers
45,Argentina,2012,female,25-34 years,102,3228400,3.16,Argentina2012,0.831,545982375701,14203,Millenials
46,Argentina,2012,female,75+ years,33,1282726,2.57,Argentina2012,0.831,545982375701,14203,Silent
47,Argentina,2012,male,5-14 years,29,3615254,0.8,Argentina2012,0.831,545982375701,14203,Generation Z
48,Argentina,2012,female,5-14 years,17,3494571,0.49,Argentina2012,0.831,545982375701,14203,Generation Z
49,Argentina,2013,male,75+ years,168,699046,24.03,Argentina2013,0.833,552025140252,14206,Silent
50,Argentina,2013,male,15-24 years,696,3486661,19.96,Argentina2013,0.833,552025140252,14206,Millenials
51,Argentina,2013,male,25-34 years,499,3271373,15.25,Argentina2013,0.833,552025140252,14206,Millenials
52,Argentina,2013,male,55-74 years,398,2894129,13.75,Argentina2013,0.833,552025140252,14206,Boomers
53,Argentina,2013,male,35-54 years,604,4950850,12.2,Argentina2013,0.833,552025140252,14206,Generation X
54,Argentina,2013,female,15-24 years,167,3384642,4.93,Argentina2013,0.833,552025140252,14206,Millenials
55,Argentina,2013,female,25-34 years,102,3226464,3.16,Argentina2013,0.833,552025140252,14206,Millenials
56,Argentina,2013,female,35-54 years,157,5099167,3.08,Argentina2013,0.833,552025140252,14206,Generation X
57,Argentina,2013,female,55-74 years,102,3390673,3.01,Argentina2013,0.833,552025140252,14206,Boomers
58,Argentina,2013,female,75+ years,29,1303352,2.23,Argentina2013,0.833,552025140252,14206,Silent
59,Argentina,2013,female,5-14 years,32,3515742,0.91,Argentina2013,0.833,552025140252,14206,Generation Z
60,Argentina,2013,male,5-14 years,33,3637026,0.91,Argentina2013,0.833,552025140252,14206,Generation Z
61,Argentina,2014,male,75+ years,192,706897,27.16,Argentina2014,0.836,526319673732,13400,Silent
62,Argentina,2014,male,15-24 years,738,3492454,21.13,Argentina2014,0.836,526319673732,13400,Millenials
63,Argentina,2014,male,25-34 years,531,3276955,16.2,Argentina2014,0.836,526319673732,13400,Millenials
64,Argentina,2014,male,55-74 years,405,2951616,13.72,Argentina2014,0.836,526319673732,13400,Boomers
65,Argentina,2014,male,35-54 years,644,5060862,12.73,Argentina2014,0.836,526319673732,13400,Generation X
66,Argentina,2014,female,15-24 years,204,3388324,6.02,Argentina2014,0.836,526319673732,13400,Millenials
67,Argentina,2014,female,35-54 years,196,5203634,3.77,Argentina2014,0.836,526319673732,13400,Generation X
68,Argentina,2014,female,25-34 years,118,3227239,3.66,Argentina2014,0.836,526319673732,13400,Millenials
69,Argentina,2014,female,55-74 years,109,3454994,3.15,Argentina2014,0.836,526319673732,13400,Boomers
70,Argentina,2014,female,75+ years,25,1323654,1.89,Argentina2014,0.836,526319673732,13400,Silent
71,Argentina,2014,female,5-14 years,35,3533961,0.99,Argentina2014,0.836,526319673732,13400,Generation Z
72,Argentina,2014,male,5-14 years,34,3655965,0.93,Argentina2014,0.836,526319673732,13400,Generation Z
73,Armenia,2012,male,75+ years,5,56598,8.83,Armenia2012,0.728,10619320049,3773,Silent
74,Armenia,2012,male,35-54 years,26,376743,6.9,Armenia2012,0.728,10619320049,3773,Generation X
75,Armenia,2012,male,55-74 years,11,212482,5.18,Armenia2012,0.728,10619320049,3773,Boomers
76,Armenia,2012,male,25-34 years,11,245443,4.48,Armenia2012,0.728,10619320049,3773,Millenials
77,Armenia,2012,female,75+ years,3,91237,3.29,Armenia2012,0.728,10619320049,3773,Silent
78,Armenia,2012,male,15-24 years,5,255119,1.96,Armenia2012,0.728,10619320049,3773,Millenials
79,Armenia,2012,female,35-54 years,7,428953,1.63,Armenia2012,0.728,10619320049,3773,Generation X
80,Armenia,2012,female,25-34 years,4,259768,1.54,Armenia2012,0.728,10619320049,3773,Millenials
81,Armenia,2012,female,55-74 years,4,273394,1.46,Armenia2012,0.728,10619320049,3773,Boomers
82,Armenia,2012,female,15-24 years,2,255088,0.78,Armenia2012,0.728,10619320049,3773,Millenials
83,Armenia,2012,male,5-14 years,1,192409,0.52,Armenia2012,0.728,10619320049,3773,Generation Z
84,Armenia,2012,female,5-14 years,0,167066,0.0,Armenia2012,0.728,10619320049,3773,Generation Z
85,Armenia,2013,male,75+ years,7,58640,11.94,Armenia2013,0.731,11121465767,3957,Silent
86,Armenia,2013,female,75+ years,6,95093,6.31,Armenia2013,0.731,11121465767,3957,Silent
87,Armenia,2013,male,55-74 years,11,218063,5.04,Armenia2013,0.731,11121465767,3957,Boomers
88,Armenia,2013,female,55-74 years,11,280566,3.92,Armenia2013,0.731,11121465767,3957,Boomers
89,Armenia,2013,male,25-34 years,9,250487,3.59,Armenia2013,0.731,11121465767,3957,Millenials
90,Armenia,2013,male,35-54 years,13,370440,3.51,Armenia2013,0.731,11121465767,3957,Generation X
91,Armenia,2013,female,35-54 years,6,423841,1.42,Armenia2013,0.731,11121465767,3957,Generation X
92,Armenia,2013,male,15-24 years,2,243687,0.82,Armenia2013,0.731,11121465767,3957,Millenials
93,Armenia,2013,male,5-14 years,1,193754,0.52,Armenia2013,0.731,11121465767,3957,Generation Z
94,Armenia,2013,female,15-24 years,1,242386,0.41,Armenia2013,0.731,11121465767,3957,Millenials
95,Armenia,2013,female,25-34 years,0,265616,0.0,Armenia2013,0.731,11121465767,3957,Millenials
96,Armenia,2013,female,5-14 years,0,168091,0.0,Armenia2013,0.731,11121465767,3957,Generation Z
97,Armenia,2014,male,75+ years,9,60108,14.97,Armenia2014,0.733,11609512940,4142,Silent
98,Armenia,2014,female,75+ years,6,98118,6.12,Armenia2014,0.733,11609512940,4142,Silent
99,Armenia,2014,male,55-74 years,12,224430,5.35,Armenia2014,0.733,11609512940,4142,Boomers
100,Armenia,2014,male,35-54 years,13,363362,3.58,Armenia2014,0.733,11609512940,4142,Generation X
101,Armenia,2014,male,25-34 years,6,253461,2.37,Armenia2014,0.733,11609512940,4142,Millenials
102,Armenia,2014,female,55-74 years,4,288822,1.38,Armenia2014,0.733,11609512940,4142,Boomers
103,Armenia,2014,male,15-24 years,3,230760,1.3,Armenia2014,0.733,11609512940,4142,Millenials
104,Armenia,2014,female,15-24 years,2,227895,0.88,Armenia2014,0.733,11609512940,4142,Millenials
105,Armenia,2014,female,5-14 years,1,171332,0.58,Armenia2014,0.733,11609512940,4142,Generation Z
106,Armenia,2014,female,35-54 years,2,417829,0.48,Armenia2014,0.733,11609512940,4142,Generation X
107,Armenia,2014,female,25-34 years,0,269937,0.0,Armenia2014,0.733,11609512940,4142,Millenials
108,Armenia,2014,male,5-14 years,0,196975,0.0,Armenia2014,0.733,11609512940,4142,Generation Z
109,Australia,2012,male,75+ years,158,606842,26.04,Australia2012,0.932,1543411012580,72669,Silent
110,Australia,2012,male,35-54 years,802,3098534,25.88,Australia2012,0.932,1543411012580,72669,Generation X
111,Australia,2012,male,25-34 years,351,1657638,21.17,Australia2012,0.932,1543411012580,72669,Millenials
112,Australia,2012,male,55-74 years,396,2162980,18.31,Australia2012,0.932,1543411012580,72669,Boomers
113,Australia,2012,male,15-24 years,217,1579672,13.74,Australia2012,0.932,1543411012580,72669,Millenials
114,Australia,2012,female,35-54 years,258,3149749,8.19,Australia2012,0.932,1543411012580,72669,Generation X
115,Australia,2012,female,15-24 years,109,1503934,7.25,Australia2012,0.932,1543411012580,72669,Millenials
116,Australia,2012,female,75+ years,52,832122,6.25,Australia2012,0.932,1543411012580,72669,Silent
117,Australia,2012,female,25-34 years,98,1630077,6.01,Australia2012,0.932,1543411012580,72669,Millenials
118,Australia,2012,female,55-74 years,123,2206179,5.58,Australia2012,0.932,1543411012580,72669,Boomers
119,Australia,2012,female,5-14 years,10,1368580,0.73,Australia2012,0.932,1543411012580,72669,Generation Z
120,Australia,2012,male,5-14 years,6,1442602,0.42,Australia2012,0.932,1543411012580,72669,Generation Z
121,Australia,2013,male,75+ years,160,627275,25.51,Australia2013,0.933,1573696522007,72856,Silent
122,Australia,2013,male,35-54 years,754,3118829,24.18,Australia2013,0.933,1573696522007,72856,Generation X
123,Australia,2013,male,25-34 years,329,1702401,19.33,Australia2013,0.933,1573696522007,72856,Millenials
124,Australia,2013,male,55-74 years,418,2221866,18.81,Australia2013,0.933,1573696522007,72856,Boomers
125,Australia,2013,male,15-24 years,267,1591539,16.78,Australia2013,0.933,1573696522007,72856,Millenials
126,Australia,2013,female,35-54 years,275,3171477,8.67,Australia2013,0.933,1573696522007,72856,Generation X
127,Australia,2013,female,55-74 years,145,2276104,6.37,Australia2013,0.933,1573696522007,72856,Boomers
128,Australia,2013,female,15-24 years,95,1512779,6.28,Australia2013,0.933,1573696522007,72856,Millenials
129,Australia,2013,female,25-34 years,95,1676648,5.67,Australia2013,0.933,1573696522007,72856,Millenials
130,Australia,2013,female,75+ years,48,847577,5.66,Australia2013,0.933,1573696522007,72856,Silent
131,Australia,2013,male,5-14 years,16,1464302,1.09,Australia2013,0.933,1573696522007,72856,Generation Z
132,Australia,2013,female,5-14 years,6,1389383,0.43,Australia2013,0.933,1573696522007,72856,Generation Z
133,Australia,2014,male,35-54 years,866,3130341,27.66,Australia2014,0.935,1464955475994,66809,Generation X
134,Australia,2014,male,75+ years,164,649925,25.23,Australia2014,0.935,1464955475994,66809,Silent
135,Australia,2014,male,25-34 years,404,1730968,23.34,Australia2014,0.935,1464955475994,66809,Millenials
136,Australia,2014,male,55-74 years,471,2279114,20.67,Australia2014,0.935,1464955475994,66809,Boomers
137,Australia,2014,male,15-24 years,271,1604935,16.89,Australia2014,0.935,1464955475994,66809,Millenials
138,Australia,2014,female,35-54 years,277,3189475,8.68,Australia2014,0.935,1464955475994,66809,Generation X
139,Australia,2014,female,25-34 years,119,1716803,6.93,Australia2014,0.935,1464955475994,66809,Millenials
140,Australia,2014,female,55-74 years,157,2344644,6.7,Australia2014,0.935,1464955475994,66809,Boomers
141,Australia,2014,female,15-24 years,96,1520955,6.31,Australia2014,0.935,1464955475994,66809,Millenials
142,Australia,2014,female,75+ years,45,865915,5.2,Australia2014,0.935,1464955475994,66809,Silent
143,Australia,2014,female,5-14 years,15,1408758,1.06,Australia2014,0.935,1464955475994,66809,Generation Z
144,Australia,2014,male,5-14 years,6,1485754,0.4,Australia2014,0.935,1464955475994,66809,Generation Z
145,Austria,2012,male,75+ years,189,250032,75.59,Austria2012,0.884,409425234155,50979,Silent
146,Austria,2012,male,55-74 years,298,874391,34.08,Austria2012,0.884,409425234155,50979,Boomers
147,Austria,2012,male,35-54 years,332,1286522,25.81,Austria2012,0.884,409425234155,50979,Generation X
148,Austria,2012,male,25-34 years,99,553047,17.9,Austria2012,0.884,409425234155,50979,Millenials
149,Austria,2012,female,75+ years,76,430436,17.66,Austria2012,0.884,409425234155,50979,Silent
150,Austria,2012,male,15-24 years,66,519503,12.7,Austria2012,0.884,409425234155,50979,Millenials
151,Austria,2012,female,55-74 years,99,962372,10.29,Austria2012,0.884,409425234155,50979,Boomers
152,Austria,2012,female,35-54 years,87,1283769,6.78,Austria2012,0.884,409425234155,50979,Generation X
153,Austria,2012,female,25-34 years,20,547787,3.65,Austria2012,0.884,409425234155,50979,Millenials
154,Austria,2012,female,15-24 years,6,497838,1.21,Austria2012,0.884,409425234155,50979,Millenials
155,Austria,2012,male,5-14 years,3,422849,0.71,Austria2012,0.884,409425234155,50979,Generation Z
156,Austria,2012,female,5-14 years,1,402730,0.25,Austria2012,0.884,409425234155,50979,Generation Z
157,Austria,2013,male,75+ years,221,255540,86.48,Austria2013,0.884,430068712972,53229,Silent
158,Austria,2013,male,55-74 years,299,893602,33.46,Austria2013,0.884,430068712972,53229,Boomers
159,Austria,2013,male,35-54 years,317,1282009,24.73,Austria2013,0.884,430068712972,53229,Generation X
160,Austria,2013,female,75+ years,64,431074,14.85,Austria2013,0.884,430068712972,53229,Silent
161,Austria,2013,male,25-34 years,75,563630,13.31,Austria2013,0.884,430068712972,53229,Millenials
162,Austria,2013,female,55-74 years,118,981829,12.02,Austria2013,0.884,430068712972,53229,Boomers
163,Austria,2013,male,15-24 years,54,518852,10.41,Austria2013,0.884,430068712972,53229,Millenials
164,Austria,2013,female,35-54 years,94,1279480,7.35,Austria2013,0.884,430068712972,53229,Generation X
165,Austria,2013,female,25-34 years,25,556475,4.49,Austria2013,0.884,430068712972,53229,Millenials
166,Austria,2013,female,15-24 years,20,496526,4.03,Austria2013,0.884,430068712972,53229,Millenials
167,Austria,2013,female,5-14 years,3,400256,0.75,Austria2013,0.884,430068712972,53229,Generation Z
168,Austria,2013,male,5-14 years,1,420342,0.24,Austria2013,0.884,430068712972,53229,Generation Z
169,Austria,2014,male,75+ years,206,269625,76.4,Austria2014,0.885,441885415806,54278,Silent
170,Austria,2014,male,55-74 years,282,906857,31.1,Austria2014,0.885,441885415806,54278,Boomers
171,Austria,2014,male,35-54 years,321,1280204,25.07,Austria2014,0.885,441885415806,54278,Generation X
172,Austria,2014,female,75+ years,77,442472,17.4,Austria2014,0.885,441885415806,54278,Silent
173,Austria,2014,male,25-34 years,100,576126,17.36,Austria2014,0.885,441885415806,54278,Millenials
174,Austria,2014,male,15-24 years,79,516580,15.29,Austria2014,0.885,441885415806,54278,Millenials
175,Austria,2014,female,55-74 years,108,993973,10.87,Austria2014,0.885,441885415806,54278,Boomers
176,Austria,2014,female,35-54 years,93,1276047,7.29,Austria2014,0.885,441885415806,54278,Generation X
177,Austria,2014,female,25-34 years,29,566622,5.12,Austria2014,0.885,441885415806,54278,Millenials
178,Austria,2014,female,15-24 years,17,493605,3.44,Austria2014,0.885,441885415806,54278,Millenials
179,Austria,2014,male,5-14 years,2,419646,0.48,Austria2014,0.885,441885415806,54278,Generation Z
180,Austria,2014,female,5-14 years,0,399408,0.0,Austria2014,0.885,441885415806,54278,Generation Z
181,Bahamas,2012,male,15-24 years,2,32716,6.11,Bahamas2012,0.783,10720500000,31204,Millenials
182,Bahamas,2012,male,35-54 years,2,51466,3.89,Bahamas2012,0.783,10720500000,31204,Generation X
183,Bahamas,2012,female,35-54 years,1,54245,1.84,Bahamas2012,0.783,10720500000,31204,Generation X
184,Bahamas,2012,female,15-24 years,0,32430,0.0,Bahamas2012,0.783,10720500000,31204,Millenials
185,Bahamas,2012,female,25-34 years,0,29909,0.0,Bahamas2012,0.783,10720500000,31204,Millenials
186,Bahamas,2012,female,5-14 years,0,25670,0.0,Bahamas2012,0.783,10720500000,31204,Generation Z
187,Bahamas,2012,female,55-74 years,0,27444,0.0,Bahamas2012,0.783,10720500000,31204,Boomers
188,Bahamas,2012,female,75+ years,0,6463,0.0,Bahamas2012,0.783,10720500000,31204,Silent
189,Bahamas,2012,male,25-34 years,0,29740,0.0,Bahamas2012,0.783,10720500000,31204,Millenials
190,Bahamas,2012,male,5-14 years,0,26675,0.0,Bahamas2012,0.783,10720500000,31204,Generation Z
191,Bahamas,2012,male,55-74 years,0,23216,0.0,Bahamas2012,0.783,10720500000,31204,Boomers
192,Bahamas,2012,male,75+ years,0,3584,0.0,Bahamas2012,0.783,10720500000,31204,Silent
193,Bahamas,2013,male,55-74 years,2,24298,8.23,Bahamas2013,0.786,10627600000,30455,Boomers
194,Bahamas,2013,male,35-54 years,2,51912,3.85,Bahamas2013,0.786,10627600000,30455,Generation X
195,Bahamas,2013,female,35-54 years,1,54567,1.83,Bahamas2013,0.786,10627600000,30455,Generation X
196,Bahamas,2013,female,15-24 years,0,32613,0.0,Bahamas2013,0.786,10627600000,30455,Millenials
197,Bahamas,2013,female,25-34 years,0,30751,0.0,Bahamas2013,0.786,10627600000,30455,Millenials
198,Bahamas,2013,female,5-14 years,0,25435,0.0,Bahamas2013,0.786,10627600000,30455,Generation Z
199,Bahamas,2013,female,55-74 years,0,28689,0.0,Bahamas2013,0.786,10627600000,30455,Boomers
200,Bahamas,2013,female,75+ years,0,6828,0.0,Bahamas2013,0.786,10627600000,30455,Silent
201,Bahamas,2013,male,15-24 years,0,32971,0.0,Bahamas2013,0.786,10627600000,30455,Millenials
202,Bahamas,2013,male,25-34 years,0,30545,0.0,Bahamas2013,0.786,10627600000,30455,Millenials
203,Bahamas,2013,male,5-14 years,0,26496,0.0,Bahamas2013,0.786,10627600000,30455,Generation Z
204,Bahamas,2013,male,75+ years,0,3854,0.0,Bahamas2013,0.786,10627600000,30455,Silent
205,Bahrain,2012,male,25-34 years,11,237133,4.64,Bahrain2012,0.819,30749308511,25587,Millenials
206,Bahrain,2012,male,35-54 years,6,268027,2.24,Bahrain2012,0.819,30749308511,25587,Generation X
207,Bahrain,2012,female,25-34 years,1,110796,0.9,Bahrain2012,0.819,30749308511,25587,Millenials
208,Bahrain,2012,male,15-24 years,1,111603,0.9,Bahrain2012,0.819,30749308511,25587,Millenials
209,Bahrain,2012,female,15-24 years,0,81091,0.0,Bahrain2012,0.819,30749308511,25587,Millenials
210,Bahrain,2012,female,35-54 years,0,135976,0.0,Bahrain2012,0.819,30749308511,25587,Generation X
211,Bahrain,2012,female,5-14 years,0,81275,0.0,Bahrain2012,0.819,30749308511,25587,Generation Z
212,Bahrain,2012,female,55-74 years,0,31641,0.0,Bahrain2012,0.819,30749308511,25587,Boomers
213,Bahrain,2012,female,75+ years,0,4548,0.0,Bahrain2012,0.819,30749308511,25587,Silent
214,Bahrain,2012,male,5-14 years,0,85538,0.0,Bahrain2012,0.819,30749308511,25587,Generation Z
215,Bahrain,2012,male,55-74 years,0,50001,0.0,Bahrain2012,0.819,30749308511,25587,Boomers
216,Bahrain,2012,male,75+ years,0,4149,0.0,Bahrain2012,0.819,30749308511,25587,Silent
217,Bahrain,2013,male,15-24 years,1,110064,0.91,Bahrain2013,0.821,32539547872,26793,Millenials
218,Bahrain,2013,male,25-34 years,2,237632,0.84,Bahrain2013,0.821,32539547872,26793,Millenials
219,Bahrain,2013,male,35-54 years,2,269162,0.74,Bahrain2013,0.821,32539547872,26793,Generation X
220,Bahrain,2013,female,15-24 years,0,80476,0.0,Bahrain2013,0.821,32539547872,26793,Millenials
221,Bahrain,2013,female,25-34 years,0,112513,0.0,Bahrain2013,0.821,32539547872,26793,Millenials
222,Bahrain,2013,female,35-54 years,0,139352,0.0,Bahrain2013,0.821,32539547872,26793,Generation X
223,Bahrain,2013,female,5-14 years,0,82726,0.0,Bahrain2013,0.821,32539547872,26793,Generation Z
224,Bahrain,2013,female,55-74 years,0,33780,0.0,Bahrain2013,0.821,32539547872,26793,Boomers
225,Bahrain,2013,female,75+ years,0,4859,0.0,Bahrain2013,0.821,32539547872,26793,Silent
226,Bahrain,2013,male,5-14 years,0,86269,0.0,Bahrain2013,0.821,32539547872,26793,Generation Z
227,Bahrain,2013,male,55-74 years,0,53308,0.0,Bahrain2013,0.821,32539547872,26793,Boomers
228,Bahrain,2013,male,75+ years,0,4351,0.0,Bahrain2013,0.821,32539547872,26793,Silent
229,Bahrain,2014,male,15-24 years,4,100635,3.97,Bahrain2014,0.824,33387712766,27503,Millenials
230,Bahrain,2014,male,25-34 years,3,237952,1.26,Bahrain2014,0.824,33387712766,27503,Millenials
231,Bahrain,2014,female,25-34 years,1,110838,0.9,Bahrain2014,0.824,33387712766,27503,Millenials
232,Bahrain,2014,male,35-54 years,1,258922,0.39,Bahrain2014,0.824,33387712766,27503,Generation X
233,Bahrain,2014,female,15-24 years,0,78926,0.0,Bahrain2014,0.824,33387712766,27503,Millenials
234,Bahrain,2014,female,35-54 years,0,139103,0.0,Bahrain2014,0.824,33387712766,27503,Generation X
235,Bahrain,2014,female,5-14 years,0,82452,0.0,Bahrain2014,0.824,33387712766,27503,Generation Z
236,Bahrain,2014,female,55-74 years,0,41406,0.0,Bahrain2014,0.824,33387712766,27503,Boomers
237,Bahrain,2014,female,75+ years,0,6154,0.0,Bahrain2014,0.824,33387712766,27503,Silent
238,Bahrain,2014,male,5-14 years,0,86539,0.0,Bahrain2014,0.824,33387712766,27503,Generation Z
239,Bahrain,2014,male,55-74 years,0,64351,0.0,Bahrain2014,0.824,33387712766,27503,Boomers
240,Bahrain,2014,male,75+ years,0,6688,0.0,Bahrain2014,0.824,33387712766,27503,Silent
241,Barbados,2012,female,15-24 years,0,18575,0.0,Barbados2012,0.793,4656350000,17620,Millenials
242,Barbados,2012,female,25-34 years,0,19421,0.0,Barbados2012,0.793,4656350000,17620,Millenials
243,Barbados,2012,female,35-54 years,0,42921,0.0,Barbados2012,0.793,4656350000,17620,Generation X
244,Barbados,2012,female,5-14 years,0,18436,0.0,Barbados2012,0.793,4656350000,17620,Generation Z
245,Barbados,2012,female,55-74 years,0,28473,0.0,Barbados2012,0.793,4656350000,17620,Boomers
246,Barbados,2012,female,75+ years,0,10166,0.0,Barbados2012,0.793,4656350000,17620,Silent
247,Barbados,2012,male,15-24 years,0,18579,0.0,Barbados2012,0.793,4656350000,17620,Millenials
248,Barbados,2012,male,25-34 years,0,18523,0.0,Barbados2012,0.793,4656350000,17620,Millenials
249,Barbados,2012,male,35-54 years,0,39060,0.0,Barbados2012,0.793,4656350000,17620,Generation X
250,Barbados,2012,male,5-14 years,0,19402,0.0,Barbados2012,0.793,4656350000,17620,Generation Z
251,Barbados,2012,male,55-74 years,0,24339,0.0,Barbados2012,0.793,4656350000,17620,Boomers
252,Barbados,2012,male,75+ years,0,6375,0.0,Barbados2012,0.793,4656350000,17620,Silent
253,Barbados,2013,female,15-24 years,0,18473,0.0,Barbados2013,0.785,4612500000,17395,Millenials
254,Barbados,2013,female,25-34 years,0,19336,0.0,Barbados2013,0.785,4612500000,17395,Millenials
255,Barbados,2013,female,35-54 years,0,42518,0.0,Barbados2013,0.785,4612500000,17395,Generation X
256,Barbados,2013,female,5-14 years,0,18384,0.0,Barbados2013,0.785,4612500000,17395,Generation Z
257,Barbados,2013,female,55-74 years,0,29474,0.0,Barbados2013,0.785,4612500000,17395,Boomers
258,Barbados,2013,female,75+ years,0,10306,0.0,Barbados2013,0.785,4612500000,17395,Silent
259,Barbados,2013,male,15-24 years,0,18497,0.0,Barbados2013,0.785,4612500000,17395,Millenials
260,Barbados,2013,male,25-34 years,0,18365,0.0,Barbados2013,0.785,4612500000,17395,Millenials
261,Barbados,2013,male,35-54 years,0,38728,0.0,Barbados2013,0.785,4612500000,17395,Generation X
262,Barbados,2013,male,5-14 years,0,19376,0.0,Barbados2013,0.785,4612500000,17395,Generation Z
